Metres quadrats,Habitacions,Preu lloguer
60,3,375
96,3,650
135,4,550
90,3,550
72,4,450
210,4,1090
72,4,475
260,4,1000
110,3,1000
149,4,550
75,2,550
127,3,700
100,4,430
90,4,390
90,3,400
31,1,350
77,4,450
61,2,350
97,3,650
73,3,625
62,2,380
56,3,360
55,1,500
100,2,600
65,2,350
89,3,335
65,2,425
70,3,425
120,4,450
40,1,280
120,3,475
90,3,500
55,2,450
90,3,425
120,5,350
120,4,600
45,1,450
70,4,550
80,4,390
97,3,380
100,4,420
100,2,650
77,3,625
95,3,600
90,4,400
80,4,450
160,4,800
80,2,550
65,3,250
60,2,450
74,2,350
75,2,450
105,4,525
95,4,500
53,2,500
140,2,800
72,2,450
78,3,450
80,2,450
240,3,1500
149,4,350
140,4,600
90,3,370
100,4,650
45,1,295
43,1,400
95,4,415
70,2,580
71,2,400
75,3,300
70,2,350
60,2,400
83,3,490
40,1,460
100,4,500
65,2,400
65,3,330
50,1,295
50,2,235
70,2,280
63,2,280
97,3,626
46,1,300
75,2,450
75,3,290
95,3,450
90,4,420
95,3,400
70,3,400
83,4,520
70,2,390
90,4,400
75,2,250
71,3,425
70,3,275
115,4,525
70,1,450
85,2,550
70,3,350
183,3,1150
40,1,295
60,3,400
80,3,525
97,3,625
88,3,580
68,2,400
102,3,650
45,1,375
100,4,400
90,3,400
50,2,400
65,3,490
40,1,375
68,1,450
79,1,500
45,1,350
55,1,375
59,2,350
71,3,400
71,1,400
85,3,600
108,2,460
80,2,750
145,4,675
95,4,415
90,4,500
